Gene	"Gene synonym"	Uniprot
ABI3BP	"DKFZP586L2024, NESHBP, TARSH"	Q7Z7G0
ABL1	"ABL, c-ABL, JTK7, p150"	P00519
ABRAXAS1	"ABRA1, ABRAXAS, CCDC98, FAM175A, FLJ13614"	Q6UWZ7
ACACA	"ACAC, Acac1, ACACalpha, ACC, ACC-alpha, ACC1, ACCA, ACCalpha, hACC1"	Q13085
ACAD8		Q9UKU7
ACAD9	"MGC14452, NPD002"	Q9H845
ACADM	"ACAD1, MCAD, MCADH"	P11310
ACADS	"ACAD3, SCAD"	P16219
ACADSB	"ACAD7, SBCAD"	P45954
ACADVL	"ACAD6, LCACD, VLCAD"	P49748
ACAN	"AGC1, CSPG1, CSPGCP, MSK16"	P16112
ACAT1	"ACAT, THIL"	P24752
ACBD5	"DKFZp434A2417, KIAA1996"	Q5T8D3
ACD	"Pip1, Ptop, Tint1, Tpp1"	Q96AP0
ACE	"ACE1, CD143, DCP1"	P12821
ACER3	"APHC, FLJ11238, PHCA"	Q9NUN7
ACKR3	"CMKOR1, CXCR7, GPR159, RDC1"	P25106
ACO2	ACONM	Q99798
ACOX1	PALMCOX	Q15067
ACOX2	"BRCACOX, BRCOX, THCCox"	Q99424
ACP2	LAP	P11117
ACP4	ACPT	Q9BZG2
ACP5	"HPAP, TRAcP, TRAP"	P13686
ACSF3		Q4G176
ACSL4	"ACS4, FACL4, LACS4, MRX63, MRX68"	O60488
ACSL6	"ACS2, FACL6, KIAA0837, LACS2, LACS5"	Q9UKU0
ACTA1	"ACTA, NEM3"	P68133
ACTA2	ACTSA	P62736
ACTB		P60709
ACTC1	"ACTC, CMD1R"	P68032
ACTG1	"ACTG, DFNA20, DFNA26"	P63261
ACTG2	"ACTA3, ACTL3, ACTSG"	P63267
ACTL6A	"Actl6, Arp4, BAF53A, INO80K, SMARCN1"	O96019
ACTL6B	"ACTL6, BAF53B, SMARCN2"	O94805
ACTL9	MGC33407	Q8TC94
ACTN1		P12814
ACTN2		P35609
ACTN4	FSGS1	O43707
ACTRT1	"AIP1, ARIP1, Arp-T1, KIAA0705"	Q8TDG2
ACVR1	"ACVR1A, ACVRLK2, ALK2, SKR1"	Q04771
ACVR1B	"ActRIB, ACVRLK4, ALK4, SKR2"	P36896
ACVR2B	ActR-IIB	Q13705
ACVRL1	"ACVRLK1, ALK1, HHT, HHT2, ORW2"	P37023
ACY1		Q03154
ADA	ADA1	P00813
ADA2	"ADGF, CECR1, IDGFL"	Q9NZK5
ADAM10	"CD156C, HsT18717, kuz, MADM"	O14672
ADAM17	"CD156B, cSVP, TACE"	P78536
ADAM22	MDC2	Q9P0K1
ADAM29	"CT73, svph1"	Q9UKF5
ADAM33	"C20orf153, dJ964F7.1, DKFZp434K0521"	Q9BZ11
ADAM7	"EAPI, GP-83"	Q9H2U9
ADAM9	"CORD9, KIAA0021, MCMP, MDC9, Mltng"	Q13443
ADAMTS10	ADAM-TS10	Q9H324
ADAMTS13	"C9orf8, DKFZp434C2322, FLJ42993, MGC118899, MGC118900, TTP, vWF-CP, VWFCP"	Q76LX8
ADAMTS17	"FLJ16363, FLJ32769"	Q8TE56
ADAMTS18	ADAMTS21	Q8TE60
ADAMTS2	"ADAM-TS2, ADAMTS-3, hPCPNI, NPI, PCINP"	O95450
ADAMTS3	"ADAMTS-4, KIAA0366"	O15072
ADAMTSL2	KIAA0605	Q86TH1
ADAMTSL4	"DKFZP434K1772, TSRC1"	Q6UY14
ADAR	"ADAR1, DRADA, G1P1, IFI4"	P55265
ADARB1	"ADAR2, ADAR2a, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2b, ADAR2c, ADAR2d, ADAR2g, DRABA2, DRADA2, hRED1, RED1"	P78563
ADCY1	"AC1, DFNB44"	Q08828
ADCY10	"HCA2, RP1-313L4.2, SAC, SACI, Sacy"	Q96PN6
ADCY3	AC3	O60266
ADCY5	AC5	O95622
ADCY6	AC6	O43306
ADD3	ADDL	Q9UEY8
ADGRE2	"CD312, EMR2"	Q9UHX3
ADGRG1	"GPR56, TM7LN4, TM7XN1"	Q9Y653
ADGRG2	"EDDM6, GPR64, HE6, TM7LN2"	Q8IZP9
ADGRG6	"FLJ14937, GPR126"	Q86SQ4
ADGRV1	"DKFZp761P0710, FEB4, GPR98, KIAA0686, MASS1, USH2C, VLGR1"	Q8WXG9
ADH5	"ADH-3, ADHX, FDH, GSNOR"	P11766
ADIPOQ	"ACDC, ACRP30, adiponectin, apM1, GBP28"	Q15848
ADK	AK	P55263
ADNP	"ADNP1, KIAA0784"	Q9H2P0
ADPRS	"ADPRHL2, ARH3, FLJ20446"	Q9NX46
ADRA2B	"ADRA2L1, ADRA2RL1, ADRARL1"	P18089
ADSL		P30566
ADSS1	"ADSSL1, FLJ38602"	Q8N142
AEBP1	ACLP	Q8IUX7
AFDN	"AF-6, AF6, MLLT4"	P55196
AFF1	"AF-4, AF4, FEL, MLLT2, PBM1"	P51825
AFF2	"FMR2, FRAXE"	P51816
AFF3	"LAF4, MLLT2-like"	P51826
AFF4	"AF5Q31, MCEF"	Q9UHB7
AFG3L2	"SCA28, SPAX5"	Q9Y4W6
AFP	"FETA, HPAFP"	P02771
AGA	ASRG	P20933
AGBL1	"CCP4, FLJ32310"	Q96MI9
AGBL5	"CCP5, FLJ21839"	Q8NDL9
AGGF1	"FLJ10283, GPATC7, GPATCH7, HSU84971, VG5Q"	Q8N302
AGK	"FLJ10842, MULK"	Q53H12
AGL	GDE	P35573
AGO2	"CASC7, EIF2C2, hAGO2, LINC00980, Q10"	Q9UKV8
AGPAT2	"BSCL, LPAAT-beta, LPLAT2"	O15120
AGPS	"ADAP-S, ADAS, ADHAPS, ADPS, ALDHPSY"	O00116
AGRN	AGRIN	O00468
AGRP	"Agrt, ART, ASIP2"	O00253
AGT	SERPINA8	P01019
AGTPBP1	"CCP1, KIAA1035, Nna1"	Q9UPW5
AGTR1	"AG2S, AGTR1A, AGTR1B, AT1, AT1B, AT2R1, AT2R1A, AT2R1B, HAT1R"	P30556
AGXT	"AGT, AGT1, AGXT1, PH1, Ser-PyrAT, SPAT, SPT, TLH6"	P21549
AHCY	"AdoHcyase, SAHH"	P23526
AHDC1	"DJ159A19.3, RP1-159A19.1"	Q5TGY3
AHI1	"FLJ20069, JBTS3, ORF1"	Q8N157
AHR	bHLHe76	P35869
AHSG	"A2HS, FETUA, HSGA"	P02765
AICDA	"AID, ARP2, CDA2, HIGM2"	Q9GZX7
AIFM1	"AIF, AUNX1, CMTX4, DFNX5, NAMSD, PDCD8"	O95831
AIMP1	"EMAP-2, EMAPII, p43, SCYE1"	Q12904
AIMP2	"JTV-1, JTV1, p38, PRO0992"	Q13155
AIP	"ARA9, FKBP16, FKBP37, XAP2"	O00170
AIPL1	LCA4	Q9NZN9
AIRE	"APECED, APS1, PGA1"	O43918
AK1		P00568
AK2		P54819
AK7	"CFAP75, FAP75, FLJ32864"	Q96M32
AKAP9	"AKAP350, AKAP450, CG-NAP, HYPERION, KIAA0803, LQT11, MU-RMS-40.16A, PPP1R45, PRKA9, YOTIAO"	Q99996
AKR1C2	"BABP, DD, DD2, DDH2, HAKRD, MCDR2, TDD"	P52895
AKR1C4	"3-alpha-HSD, C11, CDR, CHDR, DD4, HAKRA, MGC22581"	P17516
AKR1D1	SRD5B1	P51857
AKT1	"AKT, PKB, PRKBA, RAC, RAC-alpha"	P31749
AKT2	PKBbeta	P31751
AKT3	"PKBG, PRKBG, RAC-gamma"	Q9Y243
ALAD	"ALADH, PBGS"	P13716
ALAS2	"ALAS-E, ASB"	P22557
ALB		P02768
ALDH18A1	"GSAS, P5CS, PYCS, SPG9"	P54886
ALDH1A3	"ALDH6, RALDH3"	P47895
ALDH2		P05091
ALDH3A2	"ALDH10, FALDH, SLS"	P51648
ALDH4A1	"ALDH4, P5CDh"	P30038
ALDH5A1	"SSADH, SSDH"	P51649
ALDH6A1	MMSDH	Q02252
ALDH7A1	"ATQ1, EPD, PDE"	P49419
ALDOA		P04075
ALDOB		P05062
ALG1	"CDG1K, HMAT1, HMT-1, Mat-1"	Q9BT22
ALG11	"CDG1P, KIAA0266"	Q2TAA5
ALG12	"CDG1G, ECM39"	Q9BV10
ALG13	"CDG1S, CXorf45, FLJ23018, GLT28D1, MDS031, TDRD13, YGL047W"	Q9NP73
ALG14	MGC19780	Q96F25
ALG2	"CDG1I, CDGIi, FLJ14511, hALPG2, NET38"	Q9H553
ALG3	"CDGS4, D16Ertd36e, Not56, NOT56L"	Q92685
ALG6		Q9Y672
ALG8	MGC2840	Q9BVK2
ALG9	DIBD1	Q9H6U8
ALK	"ALK1, CD246"	Q9UM73
ALKBH8	"MGC10235, TRM9, TRMT9A"	Q96BT7
ALMS1	KIAA0328	Q8TCU4
ALOX12	12S-LOX	P18054
ALOX12B	12R-LOX	O75342
ALOX15	15-LOX-1	P16050
ALOX5AP	FLAP	P20292
ALOXE3	"E-LOX, eLOX3"	Q9BYJ1
ALPK1	"FLJ22670, KIAA1527, Lak"	Q96QP1
ALPK3	"KIAA1330, MAK, Midori"	Q96L96
ALPL	"HOPS, TNALP, TNAP, TNSALP"	P05186
ALS2	ALS2CR6	Q96Q42
ALX1	CART1	Q15699
ALX3	FND	O95076
ALX4	"FPP, KIAA1788, PFM, PFM2"	Q9H161
AMACR	"P504S, RACE"	Q9UHK6
AMBN		Q9NP70
AMELX	"AIH1, AMG"	Q99217
AMER1	"FAM123B, FLJ39827, RP11-403E24.2, WTX"	Q5JTC6
AMH	"MIF, MIS"	P03971
AMHR2	"MISR2, MISRII"	Q16671
AMMECR1		Q9Y4X0
AMN	amnionless	Q9BXJ7
AMPD1	"MAD, MADA"	P23109
AMPD2	SPG63	Q01433
AMPD3		Q01432
AMT	"GCST, NKH"	P48728
AMTN	"RSTI689, UNQ689"	Q6UX39
ANAPC1	"APC1, MCPR, TSG24"	Q9H1A4
ANAPC7	APC7	Q9UJX3
ANG	"RAA1, RNASE5"	P03950
ANGPT1	"AGPT-1, Ang1, KIAA0003"	Q15389
ANGPT2	Ang2	O15123
ANGPTL3	ANGPT5	Q9Y5C1
ANK1	"ANK, SPH1"	P16157
ANK2	"CFAP87, FAP87, LQT4"	Q01484
ANK3		Q12955
ANKH	"ANK, CCAL2, CMDJ, CPPDD, HANK, SLC62A1"	Q9HCJ1
ANKLE2	"KIAA0692, Lem4, LEMD7"	Q86XL3
ANKRD11	"ANCO-1, ANCO1, LZ16, T13"	Q6UB99
ANKRD17	"FLJ22206, GTAR, KIAA0697, MASK2, NY-BR-16"	O75179
ANKRD26	"KIAA1074, THC2"	Q9UPS8
ANKS6	"ANKRD14, FLJ36928, NPHP16, SAMD6"	Q68DC2
ANLN	"ANILLIN, scra, Scraps"	Q9NQW6
ANO1	"DOG1, FLJ10261, ORAOV2, TAOS2, TMEM16A"	Q5XXA6
ANO10	"FLJ10375, MGC47890, SCAR10, TMEM16K"	Q9NW15
ANO3	"C11orf25, DYT23, GENX-3947, TMEM16C"	Q9BYT9
ANO5	"GDD1, LGMD2L, TMEM16E"	Q75V66
ANO6	"DKFZp313M0720, TMEM16F"	Q4KMQ2
ANOS1	"ADMLX, KAL, KAL1, KALIG-1, WFDC19"	P23352
ANTXR1	"ATR, FLJ10601, FLJ21776, TEM8"	Q9H6X2
ANTXR2	"CMG-2, CMG2, FLJ31074"	P58335
ANXA11	ANX11	P50995
ANXA2	"ANX2, ANX2L4, CAL1H, LIP2, LPC2D"	P07355
ANXA5	"ANX5, CPB-I, ENX2, PAP-I, RPRGL3, VAC-alph"	P08758
AOPEP	"AP-O, APO, C90RF3, C9orf3, FLJ14675"	Q8N6M6
AP1B1	"ADTB1, AP105A, BAM22, CLAPB2"	Q10567
AP1G1	"ADTG, CLAPG1"	O43747
AP1S1	"AP19, CLAPS1, EKV3, SIGMA1A, WUGSC:H_DJ0747G18.2"	P61966
AP1S2	"MRX59, MRXS5, PGS, SIGMA1B"	P56377
AP1S3	sigma1C	Q96PC3
AP2M1	"AP50, CLAPM1, mu2"	Q96CW1
AP2S1	"CLAPS2, FBH3, FBHOk, HHC3"	P53680
AP3B1	"ADTB3A, HPS2"	O00203
AP3B2	NAPTB	Q13367
AP3D1	ADTD	O14617
AP4B1	"BETA-4, SPG47"	Q9Y6B7
AP4E1	"AP-4-EPSILON, SPG51"	Q9UPM8
AP4M1	"MU-4, MU-ARP2, SPG50"	O00189
AP4S1	"AP47B, CLA20, SPG52"	Q9Y587
AP5Z1	"KIAA0415, SPG48, zeta"	O43299
APC	"DP2, DP2.5, DP3, PPP1R46"	P25054
APC2	APCL	O95996
APCDD1	B7323	Q8J025
APCS	"MGC88159, PTX2, SAP"	P02743
APOA1		P02647
APOA5	"APOA-V, RAP3"	Q6Q788
APOB		P04114
APOC2		P02655
APOC3	"Apo-C3, Apo-CIII, ApoC-3, ApoC-III, APOCIII"	P02656
APOE	AD2	P02649
APOL1	APOL	O14791
APP	"AD1, alpha-sAPP"	P05067
APPL1	APPL	Q9UKG1
APPL2	"DIP13B, FLJ10659"	Q8NEU8
APRT		P07741
APTX	"AOA, AOA1, AXA1, EAOH, EOAHA, FLJ20157"	Q7Z2E3
AQP2		P41181
AQP5		P55064
AR	"AIS, DHTR, HUMARA, NR3C4, SBMA, SMAX1"	P10275
ARCN1	COPD	P48444
ARF1		P84077
ARFGEF1	"ARFGEP1, BIG1, DKFZP434L057, p200"	Q9Y6D6
ARFGEF2	BIG2	Q9Y6D5
ARG1		P05089
ARHGAP20	KIAA1391	Q9P2F6
ARHGAP26	"GRAF, KIAA0621, OPHN1L, OPHN1L1"	Q9UNA1
ARHGAP31	CDGAP	Q2M1Z3
ARHGDIA	"GDIA1, RHOGDI"	P52565
ARHGEF1	"LBCL2, P115-RHOGEF, SUB1.5"	Q92888
ARHGEF10	"Gef10, KIAA0294"	O15013
ARHGEF12	"KIAA0382, LARG"	Q9NZN5
ARHGEF18	"KIAA0521, MGC15913, P114-RhoGEF, p114RhoGEF"	Q6ZSZ5
ARHGEF2	"GEF-H1, GEFH1, KIAA0651, Lfc, LFP40, P40"	Q92974
ARHGEF9	"KIAA0424, PEM-2"	O43307
ARID1A	"B120, BAF250, BAF250a, C10rf4, C1orf4, P270, SMARCF1"	O14497
ARID1B	"6A3-5, BAF250b, DAN15, ELD/OSA1, KIAA1235, p250R, SMARCF2"	Q8NFD5
ARID2	"BAF200, DKFZp686G052, FLJ30619, KIAA1557, SMARCF3"	Q68CP9
ARID5B	"FLJ21150, MRF2"	Q14865
ARIH1	"ARI, HARI, HHARI, UBCH7BP"	Q9Y4X5
ARL11	"ARLTS1, FLJ33930"	Q969Q4
ARL13B	"ARL2L1, DKFZp761H079, JBTS8"	Q3SXY8
ARL2	ARFL2	P36404
ARL2BP	"BART, BART1, RP66"	Q9Y2Y0
ARL3	ARFL3	P36405
ARL6	"BBS3, RP55"	Q9H0F7
ARL6IP1	"AIP1, ARL6IP, ARMER, KIAA0069, SPG61"	Q15041
ARMC2	"bA787I22.1, DKFZp434P0714"	Q8NEN0
ARMC5	FLJ13063	Q96C12
ARMC9	"ARM, FLJ12584, KIAA1868, KU-MEL-1"	Q7Z3E5
ARMS2	"ARMD8, LOC387715"	P0C7Q2
ARNT2	"bHLHe1, KIAA0307"	Q9HBZ2
ARPC1B	"ARC41, p40-ARC, p41-ARC"	O15143
ARR3	ARRX	P36575
ARSA	ASA	P15289
ARSB	ASB	P15848
ARSG	KIAA1001	Q96EG1
ARSK	"DKFZp313G1735, TSULF"	Q6UWY0
ARSL	"ARSE, CDPX, CDPX1"	P51690
ARV1		Q9H2C2
ARX	"CT121, EIEE1, ISSX, MRX29, MRX32, MRX33, MRX36, MRX38, MRX43, MRX54, MRX76, MRX87, MRXS1, PRTS"	Q96QS3
ASAH1	"AC, ACDase, ASAH, FLJ21558, PHP32"	Q13510
ASB10	GLC1F	Q8WXI3
ASCC1	"ASC1p50, CGI-18, Em:AC022392.3, p50"	Q8N9N2
ASH1L	"ASH1, ASH1L1, huASH1, KMT2H"	Q9NR48
ASL	ASAL	P04424
ASNS		P08243
ASPA	"ACY2, ASP"	P45381
ASPH	"BAH, CASQ2BP1, HAAH, JCTN"	Q12797
ASPM	"ASP, Calmbp1, FLJ10517, FLJ10549, MCPH5"	Q8IZT6
ASPN	"FLJ20129, PLAP-1, SLRR1C"	Q9BXN1
ASPRV1	"FLJ25084, SASPase, Taps"	Q53RT3
ASPSCR1	"ASPL, ASPS, TUG, UBXD9, UBXN9"	Q9BZE9
ASS1	"ASS, CTLN1"	P00966
ASTL	"ovastacin, SAS1B"	Q6HA08
ASXL1	KIAA0978	Q8IXJ9
ASXL2	"ASXH2, FLJ10898, KIAA1685"	Q76L83
ASXL3	KIAA1713	Q9C0F0
ATAD1	"FLJ14600, Msp1"	Q8NBU5
ATAD3A	FLJ10709	Q9NVI7
ATCAY	BNIP-H	Q86WG3
ATF1	TREB36	P18846
ATF6	ATF6A	P18850
ATG16L1	"APG16L, ATG16A, ATG16L, FLJ10035, WDR30"	Q676U5
ATG5	"APG5, APG5L, ASP, hAPG5"	Q9H1Y0
ATG7	"APG7L, DKFZp434N0735, GSA7"	O95352
ATIC	"AICARFT, IMPCHASE, PURH"	P31939
ATL1	"AD-FSP, FSP1, SPG3, SPG3A"	Q8WXF7
ATL3	DKFZP564J0863	Q6DD88
ATM	"ATA, ATC, ATD, ATDC, TEL1, TELO1"	Q13315
ATN1	"B37, D12S755E, DRPLA"	P54259
ATOH7	"bHLHa13, Math5"	Q8N100
ATP11A	"ATPIH, ATPIS, KIAA1021"	P98196
ATP11C	"ATPIG, ATPIQ"	Q8NB49
ATP13A2	"CLN12, HSA9947, PARK9"	Q9NQ11
ATP13A3	AFURS1	Q9H7F0
ATP13A4	"DKFZp761I1011, FLJ37958"	Q4VNC1
ATP1A1		P05023
ATP1A2	"FHM2, MHP2"	P50993
ATP1A3	DYT12	P13637
ATP2A1	"ATP2A, SERCA1"	O14983
ATP2A2	"ATP2B, DAR, SERCA2"	P16615
ATP2B1	PMCA1	P20020
ATP2B2	PMCA2	Q01814
ATP2B3	"CFAP39, CLA2, PMCA3, SCAX1"	Q16720
ATP2C1	"ATP2C1A, BCPM, KIAA1347, PMR1, SPCA1"	P98194
ATP5F1A	"ATP5A, ATP5A1, ATP5AL2, ATPM, hATP1, OMR, ORM"	P25705
ATP5F1D	ATP5D	P30049
ATP5F1E	ATP5E	P56381
ATP5MC3	ATP5G3	P48201
ATP5MK	"AGP, ATP5MD, bA792D24.4, DAPIT, MGC14697, USMG5"	Q96IX5
ATP6AP1	"16A, Ac45, ATP6IP1, ATP6S1, CF2, ORF, VATPS1, XAP-3, XAP3"	Q15904
ATP6AP2	"APT6M8-9, ATP6IP2, ATP6M8-9, M8-9, PRR, RENR"	O75787
ATP6V0A1	"a1, ATP6N1, ATP6N1A, Stv1, Vph1, VPP1"	Q93050
ATP6V0A2	"a2, a2V, ATP6a2, ATP6N1D, J6B7, RTF, Stv1, TJ6, TJ6M, TJ6s, Vph1"	Q9Y487
ATP6V0A4	"a4, ATP6N1B, ATP6N2, RDRTA2, RTA1C, RTADR, Stv1, Vph1, VPP2"	Q9HBG4
ATP6V1A	"ATP6A1, ATP6V1A1, VA68, Vma1, VPP2"	P38606
ATP6V1B1	"ATP6B1, RTA1B, VATB, Vma2, VPP3"	P15313
ATP6V1B2	"ATP6B2, HO57, VATB, Vma2, VPP3"	P21281
ATP6V1E1	"ATP6E, ATP6E2, ATP6V1E, P31, Vma4"	P36543
ATP7A	MNK	Q04656
ATP7B	WND	P35670
ATP8A2	"ATPIB, ML-1"	Q9NTI2
ATP8B1	"ATPIC, BRIC, FIC1, PFIC, PFIC1"	O43520
ATPAF2	"ATP12, Atp12p, LP3663, MGC29736"	Q8N5M1
ATR	"FRP1, MEC1, SCKL, SCKL1"	Q13535
ATRX	"JMS, MRX52, RAD54, XH2, XNP"	P46100
ATXN1	"ATX1, D6S504E, SCA1"	P54253
ATXN10	"ATX10, E46L, FLJ37990, SCA10"	Q9UBB4
ATXN2	"ATX2, SCA2, TNRC13"	Q99700
ATXN3	"ATX3, JOS, MJD, SCA3"	P54252
ATXN7	"ADCAII, OPCA3, SCA7, SGF73"	O15265
ATXN7L3B	lnc-SCA7	Q96GX2
AUH		Q13825
AURKB	"Aik2, AIM-1, ARK2, AurB, IPL1, PPP1R48, STK12, STK5"	Q96GD4
AURKC	"ARK3, AurC, STK13"	Q9UQB9
AUTS2	"FBRSL2, KIAA0442"	Q8WXX7
AVIL	"ADVIL, DOC6, FLJ12386, p92"	O75366
AVP	"ADH, ARVP"	P01185
AVPR2	"DIR, DIR3, V2R"	P30518
AXIN1	PPP1R49	O15169
AXIN2	"DKFZp781B0869, MGC126582"	Q9Y2T1
AXL	"ARK, JTK11, Tyro7, UFO"	P30530
B2M		P61769
B3GALNT2	MGC39558	Q8NCR0
B3GALT6	beta3GalT6	Q96L58
B3GAT3	GlcAT-I	O94766
B3GLCT	"B3GALTL, B3Glc-T, B3GTL"	Q6Y288
B4GALNT1	"beta1-4GalNAc-T, GALGT, SPG26"	Q00973
B4GALNT2	"Cad, GALGT2, Sda"	Q8NHY0
B4GALT1	"beta4Gal-T1, GGTB2"	P15291
B4GALT7	"beta4Gal-T7, XGALT-1"	Q9UBV7
B4GAT1	"B3GN-T1, B3GNT1, B3GNT6, BETA3GNTI, iGAT, IGnT"	O43505
B9D1	"B9, EPPB9, MKS9, MKSR-1"	Q9UPM9
B9D2	"MGC4093, MKS10, MKSR-2"	Q9BPU9
BAAT	BAT	Q14032
BACH2	BTBD25	Q9BYV9
BAG3		O95817
BAG5		Q9UL15
BANF1	BAF	O75531
BANK1	"BANK, FLJ20706"	Q8NDB2
BAP1	"hucep-6, KIAA0272, UCHL2"	Q92560
BAZ1B	"WBSCR10, WBSCR9, WSTF"	Q9UIG0
BBIP1	"bA348N5.3, BBIP10, BBS18, NCRNA00081"	A8MTZ0
BBS1	FLJ23590	Q8NFJ9
BBS10	"C12orf58, FLJ23560"	Q8TAM1
BBS12	"C4orf24, FLJ35630, FLJ41559"	Q6ZW61
BBS2	BBS	Q9BXC9
BBS4		Q96RK4
BBS5	DKFZp762I194	Q8N3I7
BBS7	"BBS2L1, FLJ10715"	Q8IWZ6
BBS9	"B1, PTHB1"	Q3SYG4
BCAP31	"6C6-Ag, BAP31, CDM, DXS1357E"	P51572
BCAS3	"FLJ20128, PHAF2"	Q9H6U6
BCAS4	"CNOL, FLJ20495"	Q8TDM0
BCAT2	"BCAM, BCATm, BCT2"	O15382
BCHE	"CHE1, CHE2, E1"	P06276
BCKDHA	"MSU, OVD1A"	P12694
BCKDHB		P21953
BCKDK		O14874
BCL10	"c-E10, CARMEN, CIPER, CLAP, mE10"	O95999
BCL11A	"BCL11A-L, BCL11A-S, BCL11A-XL, CTIP1, EVI9, HBFQTL5, SMARCM1, ZNF856"	Q9H165
BCL11B	"CTIP-2, CTIP2, hRIT1-alpha, SMARCM2, ZNF856B"	Q9C0K0
BCL2	"Bcl-2, PPP1R50"	P10415
BCL3	"BCL4, D19S37"	P20749
BCL6	"BCL5, BCL6A, LAZ3, ZBTB27, ZNF51"	P41182
BCL7A	"BCL7, SMARCJ1"	Q4VC05
BCL7B	SMARCJ2	Q9BQE9
BCL9		O00512
BCO1	"BCDO, BCDO1, BCMO, BCMO1, FLJ10730"	Q9HAY6
BCOR	"FLJ20285, KIAA1575"	Q6W2J9
BCORL1	"CXorf10, FLJ11362"	Q5H9F3
BCR	"ALL, BCR1, CML, D22S11, D22S662, PHL"	P11274
BCS1L	"BCS, BJS, h-BCS, Hs.6719"	Q9Y276
BDP1	"HSA238520, KIAA1241, KIAA1689, TAF3B1, TFC5, TFIIIB150, TFIIIB90, TFNR"	A6H8Y1
BEAN1	SCA31	Q3B7T3
BEST1	"BEST, BMD, RP50, VMD2"	O76090
BFSP1	"CP115, CP94, filensin, LIFL-H"	Q12934
BFSP2	"CP47, CP49, LIFL-L, phakinin"	Q13515
BGN	"DSPG1, SLRR1A"	P21810
BHLHA9	BHLHF42	Q7RTU4
BICC1		Q9H694
BICD2	KIAA0699	Q8TD16
BICRA	"GLTSCR1, SMARCK1"	Q9NZM4
BIN1	"AMPH2, AMPHL, SH3P9"	O00499
BIRC3	"API2, c-IAP2, cIAP2, hiap-1, MALT2, MIHC, RNF49"	Q13489
BLK	MGC10442	P51451
BLM	"BS, RECQ2, RECQL3"	P54132
BLNK	"BASH, bca, BLNK-s, Ly57, SLP-65, SLP65"	Q8WV28
BLOC1S3	"BLOS3, HPS8"	Q6QNY0
BLOC1S5	"dJ303A1.3, MU, MUTED"	Q8TDH9
BLOC1S6	"HPS9, PA, PLDN"	Q9UL45
BLTP1	"FLJ21404, FSA, KIAA1109, KIAA1371, Tweek"	Q2LD37
BLVRA	BLVR	P53004
BMP1	"BMP-1, PCOLC"	P13497
BMP15	GDF9B	O95972
BMP2	BMP2A	P12643
BMP4	BMP2B	P12644
BMPER	"CRIM3, Cv2"	Q8N8U9
BMPR1A	"ACVRLK3, ALK3, CD292"	P36894
BMPR1B	"ALK6, CDw293"	O00238
BMPR2	"BMPR-II, BMPR3, BRK-3, PPH1, T-ALK"	Q13873
BMS1	"BMS1L, KIAA0187"	Q14692
BNC1	"BNC, HsT19447"	Q01954
BNC2	"BSN2, FLJ20043"	Q6ZN30
BOLA3		Q53S33
BPGM		P07738
BPNT2	"FLJ20421, gPAPP, IMPA3, IMPAD1"	Q9NX62
BPTF	"FAC1, FALZ, NURF301"	Q12830
BRAF	"BRAF-1, BRAF1"	P15056
BRAT1	"BAAT1, C7orf27, MGC22916"	Q6PJG6
